加载数据...
总样本: 98,000条
已有: 9,400条，继续...
待处理: 88,600条，5线程并行
[77,000/98000] 新增67,600 | 6775条/h | 剩余~3.1h | 错误:53
[77,200/98000] 新增67,800 | 6770条/h | 剩余~3.1h | 错误:53
[77,400/98000] 新增68,000 | 6768条/h | 剩余~3.0h | 错误:53
[77,600/98000] 新增68,200 | 6764条/h | 剩余~3.0h | 错误:53
[77,800/98000] 新增68,400 | 6752条/h | 剩余~3.0h | 错误:53
[78,000/98000] 新增68,600 | 6735条/h | 剩余~3.0h | 错误:53
[78,200/98000] 新增68,800 | 6720条/h | 剩余~2.9h | 错误:53
[78,400/98000] 新增69,000 | 6706条/h | 剩余~2.9h | 错误:53
[78,600/98000] 新增69,200 | 6702条/h | 剩余~2.9h | 错误:53
[78,800/98000] 新增69,400 | 6699条/h | 剩余~2.9h | 错误:53
[79,000/98000] 新增69,600 | 6700条/h | 剩余~2.8h | 错误:53
[79,200/98000] 新增69,800 | 6699条/h | 剩余~2.8h | 错误:53
[79,400/98000] 新增70,000 | 6697条/h | 剩余~2.8h | 错误:53
[79,600/98000] 新增70,200 | 6690条/h | 剩余~2.8h | 错误:53
[79,800/98000] 新增70,400 | 6690条/h | 剩余~2.7h | 错误:53
[80,000/98000] 新增70,600 | 6692条/h | 剩余~2.7h | 错误:53
