lang,month,n_questions,median_body_length,median_code_blocks,frac_with_code
haskell,2018-07,273,962.0,4.0,0.952381
haskell,2018-08,270,1117.5,4.0,0.940741
haskell,2018-09,293,1017.0,4.0,0.945392
haskell,2018-10,357,950.0,4.0,0.963585
haskell,2018-11,338,1016.5,3.0,0.970414
haskell,2018-12,318,1085.5,4.0,0.949686
haskell,2019-01,289,1099.0,4.0,0.948097
haskell,2019-02,254,903.5,4.0,0.948819
haskell,2019-03,297,1020.0,4.0,0.983165
haskell,2019-04,327,1099.0,4.0,0.966361
haskell,2019-05,285,1069.0,4.0,0.978947
haskell,2019-06,202,1162.5,4.0,0.965347
haskell,2019-07,221,1080.0,5.0,0.945701
haskell,2019-08,205,985.0,4.0,0.946341
haskell,2019-09,262,1084.0,4.0,0.946565
haskell,2019-10,318,963.5,3.0,0.95283
haskell,2019-11,336,960.0,3.0,0.967262
haskell,2019-12,264,1114.5,4.0,0.954545
haskell,2020-01,237,1166.0,4.0,0.978903
haskell,2020-02,201,1118.0,5.0,0.970149
haskell,2020-03,241,1088.0,4.0,0.966805
haskell,2020-04,259,1116.0,4.0,0.969112
haskell,2020-05,309,1189.0,4.0,0.951456
haskell,2020-06,187,1293.0,5.0,0.97861
haskell,2020-07,212,1337.5,5.0,0.971698
haskell,2020-08,187,1097.0,4.0,0.957219
haskell,2020-09,190,926.0,3.0,0.942105
haskell,2020-10,254,965.0,3.0,0.948819
haskell,2020-11,279,908.0,3.0,0.964158
haskell,2020-12,244,1054.0,4.0,0.95082
haskell,2021-01,235,1203.0,4.0,0.965957
haskell,2021-02,186,1014.0,4.0,0.930108
haskell,2021-03,223,1128.0,4.0,0.977578
haskell,2021-04,227,1094.0,3.0,0.947137
haskell,2021-05,256,1048.5,3.5,0.960938
haskell,2021-06,178,1216.0,4.0,0.966292
haskell,2021-07,153,1150.0,4.0,0.96732
haskell,2021-08,154,1387.0,5.0,0.980519
haskell,2021-09,154,1110.5,4.0,0.954545
haskell,2021-10,291,860.0,3.0,0.975945
haskell,2021-11,294,926.5,4.0,0.969388
haskell,2021-12,219,1111.0,4.0,0.977169
haskell,2022-01,191,1071.0,3.0,0.937173
haskell,2022-02,234,1016.0,4.0,0.935897
haskell,2022-03,152,1164.0,3.0,0.940789
haskell,2022-04,160,1160.5,3.0,0.94375
haskell,2022-05,164,1020.5,3.0,0.97561
haskell,2022-06,128,1000.5,4.0,0.9375
haskell,2022-07,155,1171.0,4.0,0.948387
haskell,2022-08,115,1244.0,4.0,0.956522
haskell,2022-09,149,1132.0,4.0,0.95302
haskell,2022-10,171,832.0,3.0,0.953216
haskell,2022-11,237,942.0,3.0,0.957806
haskell,2022-12,154,1017.5,3.0,0.974026
haskell,2023-01,126,1114.0,4.0,0.960317
haskell,2023-02,99,1200.0,5.0,1.0
haskell,2023-03,108,1168.5,5.0,0.925926
haskell,2023-04,90,1406.5,5.0,0.944444
haskell,2023-05,70,1240.0,5.0,0.971429
haskell,2023-06,66,1105.0,4.0,0.909091
haskell,2023-07,58,1563.5,6.0,0.965517
haskell,2023-08,79,1293.0,4.0,0.949367
haskell,2023-09,49,1189.0,4.0,0.979592
haskell,2023-10,60,1217.5,5.0,0.933333
haskell,2023-11,66,1329.5,5.0,0.939394
haskell,2023-12,59,1277.0,4.0,0.966102
haskell,2024-01,68,1403.0,4.5,0.970588
haskell,2024-02,67,1375.0,4.0,0.970149
haskell,2024-03,57,1318.0,5.0,0.964912
java,2018-01,12140,1338.0,2.0,0.866392
java,2018-02,11816,1342.0,2.0,0.870345
java,2018-03,13349,1314.0,2.0,0.868904
java,2018-04,13254,1355.0,2.0,0.871435
java,2018-05,13280,1334.0,2.0,0.863328
java,2018-06,11598,1330.0,2.0,0.866615
java,2018-07,11557,1309.0,2.0,0.858095
java,2018-08,11117,1317.0,2.0,0.860934
java,2018-09,10526,1299.0,2.0,0.860156
java,2018-10,12302,1318.0,2.0,0.862868
java,2018-11,11522,1332.5,2.0,0.870769
java,2018-12,10269,1364.0,2.0,0.873892
java,2019-01,10849,1368.0,2.0,0.877224
java,2019-02,10804,1336.5,2.0,0.872362
java,2019-03,11869,1353.0,2.0,0.873199
java,2019-04,10967,1397.0,2.0,0.888575
java,2019-05,10876,1406.5,2.0,0.890217
java,2019-06,9458,1430.0,2.0,0.882533
java,2019-07,10625,1403.0,2.0,0.881412
java,2019-08,8921,1466.0,2.0,0.899339
java,2019-09,9529,1368.0,2.0,0.883933
java,2019-10,11016,1313.0,2.0,0.876816
java,2019-11,10156,1390.0,2.0,0.872686
java,2019-12,8877,1409.0,2.0,0.883745
java,2020-01,9767,1365.0,2.0,0.871916
java,2020-02,9849,1380.0,2.0,0.881815
java,2020-03,10875,1380.0,2.0,0.884966
java,2020-04,12382,1419.5,2.0,0.873526
java,2020-05,11821,1403.0,2.0,0.87463
java,2020-06,10628,1403.0,2.0,0.874671
java,2020-07,10218,1422.5,2.0,0.878841
java,2020-08,9178,1464.0,2.0,0.877751
java,2020-09,8786,1387.5,2.0,0.879695
java,2020-10,8787,1364.0,2.0,0.886537
java,2020-11,8345,1452.0,2.0,0.889515
java,2020-12,7658,1452.0,2.0,0.889266
java,2021-01,7864,1468.0,2.0,0.877798
java,2021-02,7457,1412.0,2.0,0.885209
java,2021-03,8509,1424.0,2.0,0.873546
java,2021-04,7795,1477.0,2.0,0.879538
java,2021-05,7835,1474.0,2.0,0.87492
java,2021-06,7454,1449.0,2.0,0.869466
java,2021-07,6824,1421.0,2.0,0.868845
java,2021-08,6637,1439.0,2.0,0.875245
java,2021-09,6486,1452.0,2.0,0.869257
java,2021-10,6449,1399.0,2.0,0.877035
java,2021-11,6770,1385.5,2.0,0.862186
java,2021-12,6085,1417.0,2.0,0.865242
java,2022-01,6343,1442.0,2.0,0.8723
java,2022-02,5823,1418.0,2.0,0.865533
java,2022-03,6473,1433.0,2.0,0.859725
java,2022-04,6257,1441.0,2.0,0.867029
java,2022-05,6383,1459.0,2.0,0.868714
java,2022-06,5638,1466.0,2.0,0.869989
java,2022-07,5321,1466.0,2.0,0.86262
java,2022-08,5220,1471.5,2.0,0.865709
java,2022-09,4983,1475.0,2.0,0.865342
java,2022-10,5235,1471.0,2.0,0.867622
java,2022-11,5348,1423.0,2.0,0.862378
java,2022-12,4734,1563.5,2.0,0.881073
java,2023-01,4643,1569.0,2.0,0.875942
java,2023-02,4043,1568.0,2.0,0.866436
java,2023-03,4412,1609.5,2.0,0.876247
java,2023-04,4210,1684.5,2.0,0.887648
java,2023-05,4101,1700.0,2.0,0.870032
java,2023-06,4193,1651.0,2.0,0.849511
java,2023-07,3968,1627.0,2.0,0.85005
java,2023-08,3760,1729.5,2.0,0.862766
java,2023-09,3263,1696.0,2.0,0.855041
java,2023-10,3355,1678.0,2.0,0.866468
java,2023-11,3231,1658.0,2.0,0.862581
java,2023-12,2505,1766.0,2.0,0.856287
java,2024-01,2834,1746.5,2.0,0.850388
java,2024-02,2749,1774.0,2.0,0.864314
java,2024-03,3308,1715.5,2.0,0.838573
javascript,2018-01,18180,1233.0,2.0,0.912596
javascript,2018-02,16546,1248.0,2.0,0.914179
javascript,2018-03,18465,1238.0,2.0,0.914974
javascript,2018-04,17197,1276.0,2.0,0.921789
javascript,2018-05,17354,1282.0,2.0,0.922612
javascript,2018-06,16496,1236.0,2.0,0.910766
javascript,2018-07,17120,1250.0,2.0,0.91396
javascript,2018-08,17065,1240.0,2.0,0.91421
javascript,2018-09,15267,1253.0,2.0,0.912098
javascript,2018-10,16598,1250.0,2.0,0.91011
javascript,2018-11,15431,1266.0,2.0,0.914393
javascript,2018-12,13616,1287.0,2.0,0.922224
javascript,2019-01,15310,1311.0,2.0,0.918746
javascript,2019-02,14959,1294.0,2.0,0.917441
javascript,2019-03,16541,1291.0,2.0,0.922193
javascript,2019-04,15414,1310.0,2.0,0.927533
javascript,2019-05,15356,1291.0,2.0,0.931493
javascript,2019-06,14027,1306.0,2.0,0.924859
javascript,2019-07,15273,1339.0,2.0,0.927585
javascript,2019-08,14416,1346.5,2.0,0.941246
javascript,2019-09,14007,1321.0,2.0,0.92825
javascript,2019-10,15100,1296.5,2.0,0.922848
javascript,2019-11,14873,1328.0,2.0,0.918645
javascript,2019-12,13472,1368.0,2.0,0.930745
javascript,2020-01,15153,1322.0,2.0,0.923843
javascript,2020-02,14842,1330.0,2.0,0.922719
javascript,2020-03,16557,1320.0,2.0,0.926557
javascript,2020-04,19691,1318.0,2.0,0.91976
javascript,2020-05,20229,1317.0,2.0,0.922834
javascript,2020-06,18588,1295.0,2.0,0.916774
javascript,2020-07,18617,1353.0,2.0,0.919751
javascript,2020-08,16901,1369.0,2.0,0.917283
javascript,2020-09,15691,1369.0,2.0,0.923268
javascript,2020-10,15438,1386.0,2.0,0.927257
javascript,2020-11,14550,1390.0,2.0,0.93354
